file,baseline,finetuned
인.허가/5350109/1998/5350109-1998-0001-2609.json,0.5334,0.8629
인.허가/5350109/1998/5350109-1998-0001-2682.json,0.3866,0.6127
인.허가/5350109/1998/5350109-1998-0001-2683.json,0.1674,0.817
인.허가/5350109/1998/5350109-1998-0001-2716.json,0.4846,0.7072
인.허가/5350109/1998/5350109-1998-0001-2723.json,0.2434,0.8063
인.허가/5350109/1999/5350109-1999-0001-2392.json,0.2422,0.7214
인.허가/5350109/1999/5350109-1999-0001-2406.json,0.3707,0.8165
인.허가/5350109/1999/5350109-1999-0001-2432.json,0.4486,0.7674
인.허가/5350109/1999/5350109-1999-0001-2434.json,0.2908,0.8973
인.허가/5350109/1999/5350109-1999-0001-2435.json,0.3848,0.7349
인.허가/5350109/1999/5350109-1999-0001-2445.json,0.3786,0.7755
인.허가/5350109/1999/5350109-1999-0001-2455.json,0.5642,0.5938
인.허가/5350109/1999/5350109-1999-0001-2459.json,0.3621,0.7629
인.허가/5350109/1999/5350109-1999-0001-2467.json,0.5346,0.6421
인.허가/5350109/1999/5350109-1999-0001-2473.json,0.4138,0.7819
인.허가/5350109/1999/5350109-1999-0001-2508.json,0.442,0.6741
인.허가/5350109/1999/5350109-1999-0001-2538.json,0.1877,0.6882
인.허가/5350109/1999/5350109-1999-0001-2550.json,0.122,0.6181
인.허가/5350109/1999/5350109-1999-0001-2560.json,0.5119,0.7274
인.허가/5350109/1999/5350109-1999-0001-2591.json,0.4824,0.6573
인.허가/5350109/1999/5350109-1999-0001-2597.json,0.0551,0.8875
인.허가/5350109/1999/5350109-1999-0001-2600.json,0.5617,0.646
인.허가/5350109/1999/5350109-1999-0001-2609.json,0.5345,0.6747
인.허가/5350109/1999/5350109-1999-0001-2636.json,0.6009,0.6743
인.허가/5350109/1999/5350109-1999-0001-2724.json,0.5149,0.6225
인.허가/5350109/1999/5350109-1999-0001-2734.json,0.1464,0.7112
인.허가/5350109/1999/5350109-1999-0001-2742.json,0.2251,0.6806
인.허가/5350109/1999/5350109-1999-0001-2793.json,0.6112,0.7211
인.허가/5350109/1999/5350109-1999-0001-2821.json,0.252,0.725
인.허가/5350109/1999/5350109-1999-0001-2822.json,0.2789,0.6163
인.허가/5350109/1999/5350109-1999-0001-2834.json,0.3098,0.6304
인.허가/5350109/1999/5350109-1999-0001-2845.json,0.5215,0.7758
인.허가/5350109/1999/5350109-1999-0001-2853.json,0.3331,0.7969
인.허가/5350109/1999/5350109-1999-0001-2902.json,0.393,0.7669
인.허가/5350109/1999/5350109-1999-0001-2920.json,0.1885,0.8282
인.허가/5350109/1999/5350109-1999-0001-2949.json,0.2547,0.8018
인.허가/5350109/1999/5350109-1999-0001-2965.json,0.253,0.7044
인.허가/5350109/2000/5350109-2000-0001-2486.json,0.2663,0.7702
인.허가/5350109/2000/5350109-2000-0001-2517.json,0.328,0.7025
인.허가/5350109/2000/5350109-2000-0001-2561.json,0.3669,0.7879
인.허가/5350109/2000/5350109-2000-0001-2563.json,0.2091,0.7619
인.허가/5350109/2000/5350109-2000-0001-2568.json,0.4528,0.7238
인.허가/5350109/2000/5350109-2000-0001-2569.json,0.1735,0.7069
인.허가/5350109/2000/5350109-2000-0001-2621.json,0.3442,0.6935
인.허가/5350109/2000/5350109-2000-0001-2640.json,0.4052,0.7013
인.허가/5350109/2000/5350109-2000-0001-2685.json,0.1384,0.804
인.허가/5350109/2000/5350109-2000-0001-2708.json,0.4561,0.7742
인.허가/5350109/2000/5350109-2000-0001-2712.json,0.2191,0.669
인.허가/5350109/2000/5350109-2000-0001-2716.json,0.4147,0.7677
인.허가/5350109/2000/5350109-2000-0001-2729.json,0.4638,0.6638
인.허가/5350109/2000/5350109-2000-0001-2743.json,0.4148,0.7593
인.허가/5350109/2000/5350109-2000-0001-2747.json,0.217,0.8088
인.허가/5350109/2000/5350109-2000-0001-2782.json,0.0938,0.4992
인.허가/5350109/2000/5350109-2000-0001-2786.json,0.5615,0.6984
인.허가/5350109/2000/5350109-2000-0001-2840.json,0.3464,0.717
인.허가/5350109/2000/5350109-2000-0001-2850.json,0.087,0.6055
인.허가/5350109/2000/5350109-2000-0001-2857.json,0.2562,0.7296
인.허가/5350109/2000/5350109-2000-0001-2884.json,0.1304,0.6237
인.허가/5350109/2000/5350109-2000-0001-2896.json,0.5609,0.7539
인.허가/5350109/2000/5350109-2000-0001-2903.json,0.361,0.6995
인.허가/5350109/2000/5350109-2000-0001-2920.json,0.3997,0.7427
인.허가/5350109/2000/5350109-2000-0001-2936.json,0.461,0.7871
인.허가/5350109/2000/5350109-2000-0001-2957.json,0.448,0.7784
인.허가/5350109/2000/5350109-2000-0001-2996.json,0.0556,0.6264
인.허가/5350109/2001/5350109-2001-0001-2443.json,0.2877,0.7565
인.허가/5350109/2001/5350109-2001-0001-2444.json,0.4446,0.5961
인.허가/5350109/2001/5350109-2001-0001-2458.json,0.3582,0.7846
인.허가/5350109/2001/5350109-2001-0001-2512.json,0.3007,0.6428
인.허가/5350109/2001/5350109-2001-0001-2521.json,0.184,0.6556
인.허가/5350109/2001/5350109-2001-0001-2525.json,0.2412,0.7678
인.허가/5350109/2001/5350109-2001-0001-2526.json,0.2857,0.7482
인.허가/5350109/2001/5350109-2001-0001-2569.json,0.1865,0.7967
인.허가/5350109/2001/5350109-2001-0001-2612.json,0.3506,0.7334
인.허가/5350109/2001/5350109-2001-0001-2621.json,0.3996,0.7353
인.허가/5350109/2001/5350109-2001-0001-2634.json,0.3585,0.7939
인.허가/5350109/2001/5350109-2001-0001-2653.json,0.1413,0.7609
인.허가/5350109/2001/5350109-2001-0001-2690.json,0.3669,0.7294
인.허가/5350140/1994/5350140-1994-0001-0253.json,0.4497,0.6781
인.허가/5350140/1996/5350140-1996-0001-2145.json,0.4208,0.8069
인.허가/5350140/1996/5350140-1996-0001-2165.json,0.3745,0.6281
인.허가/5350140/1996/5350140-1996-0001-2198.json,0.3217,0.7334
인.허가/5350140/1996/5350140-1996-0001-2232.json,0.4963,0.753
인.허가/5350140/2013/5350140-2013-0001-0103.json,0.5076,0.1143
인.허가/5350178/1994/5350178-1994-0001-0341.json,0.2589,0.7378
인.허가/5350178/1994/5350178-1994-0001-0353.json,0.446,0.6769
인.허가/5350178/1995/5350178-1995-0001-0789.json,0.4,0.7548
인.허가/5350178/1995/5350178-1995-0001-0800.json,0.1414,0.7258
인.허가/5350178/1995/5350178-1995-0001-0825.json,0.2187,0.6494
인.허가/5350178/1995/5350178-1995-0001-0842.json,0.4621,0.8329
인.허가/5350178/1996/5350178-1996-0001-0423.json,0.2192,0.7892
인.허가/5350178/1996/5350178-1996-0001-0427.json,0.4502,0.6634
